776,595,11
46,425,9
581,524,21
237,75,19
526,54,15
283,983,6
374,102,14
592,726,16
384,167,13
832,460,9
949,548,13
550,73,13
395,507,16
164,482,11
426,41,17
344,309,13
273,829,13
296,43,19
80,172,13
233,508,15
405,376,13
294,459,18
901,194,10
411,126,11
129,313,16
502,690,12
257,538,16
462,953,8
707,626,16
429,315,14
489,6,8
482,597,14
165,991,5
760,934,8
410,925,9
691,533,14
734,238,16
474,620,14
973,894,6
117,442,12
996,67,10
921,212,15
667,352,20
391,184,15
775,986,6
784,201,14
735,178,17
48,717,8
79,502,12
505,811,12
