6,5,2
26,11,3
46,26,8
66,16,10
86,67,12
106,62,8
126,35,10
146,123,6
166,144,8
186,146,8
206,186,9
226,167,12
246,120,7
266,217,11
286,272,7
306,301,3
326,215,10
346,174,11
366,114,9
386,149,11
406,92,12
426,403,4
446,232,11
466,349,14
486,196,11
506,339,8
526,172,16
546,144,11
566,297,15
586,394,12
606,131,10
626,192,15
646,492,8
666,624,7
686,279,7
706,206,14
726,457,13
746,609,8
766,330,10
786,347,17
806,79,17
826,527,12
846,466,14
866,69,24
886,102,11
906,579,12
926,167,12
946,432,12
966,764,16
986,959,5
1006,17,10
1026,342,13
1046,430,9
1066,805,10
1086,129,11
1106,111,14
1126,419,13
1146,825,10
1166,920,10
1186,753,14
1206,774,12
1226,1199,8
1246,1021,4
1266,8,13
1286,1267,5
1306,243,10
1326,849,13
1346,398,14
1366,1239,12
1386,645,13
1406,520,18
1426,256,15
1446,916,13
1466,1181,11
1486,1412,7
1506,391,20
1526,711,13
1546,998,9
1566,321,14
1586,1390,14
1606,1326,14
1626,1262,11
1646,1034,12
1666,1522,15
1686,1247,17
1706,1332,10
1726,1173,11
1746,926,13
1766,998,14
1786,652,15
1806,1093,14
1826,1436,15
1846,1581,13
1866,342,14
1886,1870,7
1906,296,17
1926,395,11
1946,1384,21
1966,1601,11
1986,1561,12
2006,1685,11
2026,510,12
2046,321,16
2066,1976,4
2086,1222,18
2106,1007,16
2126,1772,11
2146,899,17
2166,2163,3
2186,1637,15
2206,1365,15
2226,119,16
2246,1641,11
2266,836,12
2286,1479,12
2306,130,15
2326,1343,14
2346,1198,12
2366,1918,7
2386,2030,11
2406,1770,13
2426,695,13
2446,401,26
2466,74,16
2486,2406,9
2506,1617,13
2526,870,18
2546,178,21
2566,789,11
2586,260,19
2606,1959,10
2626,46,17
2646,675,21
2666,589,11
2686,227,11
2706,1523,14
2726,658,13
2746,22,20
2766,2746,7
2786,508,23
2806,234,18
2826,989,12
2846,290,21
2866,690,14
2886,988,15
2906,2706,14
2926,102,20
2946,699,12
2966,912,9
2986,2278,12
3006,2718,12
3026,2868,10
3046,643,17
3066,1949,15
3086,736,18
3106,2514,7
3126,2386,15
3146,1665,13
3166,1842,14
3186,1553,23
3206,1897,11
3226,2360,14
3246,971,19
3266,1449,15
3286,301,22
3306,286,18
3326,2747,15
3346,1157,16
3366,377,11
3386,28,17
3406,2874,9
3426,280,16
3446,2769,10
3466,1648,19
3486,2743,11
3506,2714,19
3526,3427,6
3546,1460,14
3566,3211,10
3586,888,14
3606,1621,16
3626,2962,11
3646,1660,15
3666,1982,11
3686,1481,17
3706,398,16
3726,1153,16
3746,2839,13
3766,2437,10
3786,406,20
3806,3530,13
3826,2549,11
3846,2502,10
3866,1987,16
3886,1467,18
3906,2142,13
3926,720,12
3946,604,13
3966,2915,14
3986,262,18
4006,513,14
4026,2731,18
4046,3499,10
4066,4054,6
4086,1123,17
4106,1743,14
4126,2794,18
4146,2696,21
4166,2231,19
4186,4009,11
4206,4123,6
4226,3610,9
4246,1802,14
4266,3721,9
4286,3432,17
4306,3246,10
4326,2455,17
4346,2461,25
4366,3424,10
4386,3451,19
4406,2390,14
4426,532,20
4446,2352,13
4466,1013,20
4486,1322,12
4506,2014,17
4526,206,12
4546,2439,19
4566,2847,11
4586,4241,6
4606,183,22
4626,3714,11
4646,2855,17
4666,4274,7
4686,3576,14
4706,1071,16
4726,2902,19
4746,4374,12
4766,3573,11
4786,1969,19
4806,1737,11
4826,2073,15
4846,1716,18
4866,2646,13
4886,4052,19
4906,1887,17
4926,229,17
4946,2890,15
4966,4247,8
4986,2741,10
5006,1668,13
5026,2352,15
5046,2341,11
5066,870,13
5086,1291,12
5106,3457,13
5126,1559,21
5146,216,13
5166,2592,19
5186,2142,22
5206,2002,17
5226,4970,11
5246,1101,18
5266,3889,10
5286,1428,14
5306,4397,13
5326,3710,14
5346,2578,16
5366,1195,14
5386,2885,16
5406,1820,21
5426,5228,12
5446,96,12
5466,3157,19
5486,2173,24
5506,3281,19
5526,4423,10
5546,837,19
5566,752,21
5586,2079,18
5606,94,15
5626,5473,13
5646,1302,17
5666,1319,9
5686,3061,12
5706,3400,13
5726,4078,10
5746,4964,6
5766,4254,15
5786,2792,15
5806,738,10
5826,1851,12
5846,3347,19
5866,515,15
5886,2525,20
5906,2864,17
5926,1943,17
5946,3404,17
5966,1105,11
5986,4927,14
6006,1408,13
6026,5297,16
6046,3804,15
6066,4243,14
6086,367,16
6106,4174,16
6126,2807,16
6146,3717,18
6166,4207,16
6186,3391,20
6206,116,18
6226,1929,22
6246,3786,17
6266,1719,9
6286,2673,10
6306,4876,11
6326,2161,17
6346,5826,14
6366,5994,12
6386,3454,23
6406,5240,19
6426,579,23
6446,251,14
6466,2554,16
6486,4318,15
6506,3362,13
6526,3400,18
6546,5319,10
6566,499,15
6586,4734,16
6606,2420,21
6626,3393,17
6646,746,12
6666,4096,11
6686,3673,15
6706,2242,14
6726,922,26
6746,5380,13
6766,1304,19
6786,5461,16
6806,2378,18
6826,2581,19
6846,4833,16
6866,4871,12
6886,6628,8
6906,1,17
6926,46,20
6946,6869,10
6966,5653,15
6986,6510,18
7006,2926,22
7026,501,19
7046,5577,16
7066,1601,15
7086,5586,16
7106,6855,8
7126,3164,21
7146,3445,16
7166,602,21
7186,3850,18
7206,5973,16
7226,6116,9
7246,3821,17
7266,5790,16
7286,2383,16
7306,2506,13
7326,5965,14
7346,4349,14
7366,611,16
7386,5301,18
7406,2897,20
7426,6865,10
7446,2028,16
7466,5422,14
7486,5785,14
7506,292,20
7526,6066,14
7546,5655,21
7566,3376,18
7586,4229,13
7606,5053,12
7626,388,15
7646,341,18
7666,3251,14
7686,3823,17
7706,7116,14
7726,530,17
7746,6400,17
7766,775,20
7786,81,24
7806,1948,17
7826,7701,8
7846,2228,17
7866,7550,14
7886,3631,22
7906,1637,18
7926,1280,22
7946,5752,21
7966,3271,17
7986,7912,6
8006,2007,18
8026,942,25
8046,2903,17
8066,2887,13
8086,7172,17
8106,6928,19
8126,2542,18
8146,4846,13
8166,1859,16
8186,8079,11
8206,1510,20
8226,3629,10
8246,6212,16
8266,1413,14
8286,1895,17
8306,6305,14
8326,7263,12
8346,1913,23
8366,7274,9
8386,5392,12
8406,32,24
8426,5180,8
8446,2214,15
8466,6918,11
8486,6442,14
8506,5736,16
8526,1658,21
8546,6405,15
8566,4620,15
8586,8564,8
8606,8434,8
8626,7822,16
8646,5535,15
8666,3984,15
8686,1428,12
8706,3306,13
8726,7782,15
8746,5484,15
8766,8504,9
8786,2206,17
8806,4477,17
8826,6070,12
8846,6334,12
8866,3386,11
8886,1963,16
8906,5634,15
8926,2502,22
8946,814,15
8966,2579,24
8986,7279,14
9006,2591,16
9026,4692,18
9046,6940,16
9066,444,24
9086,3823,17
9106,1267,17
9126,5304,19
9146,8589,12
9166,1924,19
9186,7714,14
9206,5925,14
9226,5295,20
9246,6387,18
9266,8917,10
9286,5851,11
9306,1054,19
9326,6637,16
9346,5971,15
9366,1055,22
9386,8779,12
9406,6264,17
9426,7988,18
9446,1066,24
9466,3706,24
9486,3459,17
9506,5758,15
9526,5071,14
9546,7261,15
9566,7538,16
9586,82,18
9606,2839,19
9626,775,21
9646,8423,18
9666,1290,20
